STOIC51,STOIC05,STOIC62,STOIC74,STOIC71,STOIC76,STOIC80,STOIC54,STOIC67,STOIC02,STOIC68,STOIC79,STOIC72,STOIC61,STOIC81,STOIC53,STOIC01,STOIC66,STOIC75,STOIC69,STOIC52,STOIC73,STOIC82,STOIC70,STOIC77,STOIC64,STOIC63,STOIC78,STOIC04,STOIC55,STOIC03,STOIC65,STOIC97,STOIC99,STOIC98
372830,365779,337129,333732,332087,325123,317031,314286,299445,287639,286562,279736,274817,271305,270735,270308,260970,257191,253836,250886,250309,249911,249454,238895,234289,223345,219331,218760,216321,212546,212025,173823,149264,106357,120975
61003,76352,75262,70795,94739,109676,64636,133824,61650,72396,50136,56076,56390,98270,34033,57354,107387,105355,124872,76244,43494,109537,94390,46389,46687,124834,69669,106314,103469,41192,51848,52170,5477,5208,3027
33692,20223,24489,36117,29643,23545,23895,43082,25038,34956,38491,36170,53272,24221,32929,55097,53078,28764,36379,37372,13602,28469,35037,37347,40697,20223,35352,41954,58286,47724,65182,64307,97529,125813,84274
33284,10951,25096,11724,25994,33586,40896,31817,24965,68710,23251,13106,22516,19090,24585,22263,17963,15396,17138,21796,122676,16773,21799,19337,15979,16468,21225,13869,17388,10583,16153,7010,8845,7440,12329
39314,38097,33642,19297,31609,40414,38984,26923,39059,38320,42522,26573,27084,48648,47074,45257,45041,42922,58118,39595,74197,62868,54825,23442,49710,55222,34987,45146,36549,34259,36238,31657,103787,88531,117929
22798,35144,28523,61087,70938,31101,53031,12425,61039,25740,17933,62545,17761,74129,26441,23605,63809,95004,37397,23189,70458,18451,25233,67980,7788,13786,30161,12759,9770,99080,6984,100840,14117,22562,25459
25826,21850,12905,44997,17531,12508,19413,37522,14161,22264,35862,50909,36797,16236,38723,44792,23390,18831,21818,43723,22343,31278,39626,68628,25915,28046,41453,28220,34548,69487,38723,49589,23709,59457,24097
35864,12548,43482,31910,23045,26406,33982,19058,27798,25403,49168,42627,45723,32129,49873,49806,31151,27272,26023,40501,3621,39795,36865,34475,35990,53390,61182,51420,53228,39267,61814,50654,26552,36774,28009
12748,7631,22790,11129,10555,17171,20118,15978,10417,31605,20753,14546,29032,32104,27034,18365,17689,15875,12204,11863,5865,26053,17514,9482,29817,24790,30769,38688,42062,4650,43264,9694,45646,31157,56049
7165,24450,6885,28640,5210,4878,9431,8511,4712,4230,16432,40238,18389,8255,22569,15516,5395,9618,7390,18621,4540,11570,15871,55633,15499,12969,25838,9799,7065,41861,11911,37706,978,2238,1405
13673,7906,10315,5051,13546,11507,16780,8860,15997,18843,8837,6450,11878,12251,13580,9730,17875,12175,16068,12580,13130,11421,15175,7043,12103,12523,8508,12063,15318,6445,15170,7342,42122,24283,43497
14607,3854,20787,8904,16967,19673,19135,5554,30742,13671,19662,8592,14400,11932,21385,14557,11023,17834,15092,16800,7410,15823,13115,11857,19863,12845,13740,12546,8777,14735,15700,15107,25741,27452,36128
22037,10467,14824,23623,9183,8980,11580,9982,12238,9836,21189,22398,16474,8410,14111,22642,11594,13083,12440,15427,2761,20759,13694,22411,16085,17763,18107,16025,13425,29433,20832,33919,7565,19573,5100
25536,31495,19471,16943,11960,17475,16459,15065,18537,14927,24753,21090,29439,20327,25798,28486,19411,13653,24768,20586,12543,22394,18895,28001,25918,22745,22726,18781,18877,29792,27997,32824,25223,25235,15809
