kingdom;phylum;class;order;family;genus
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Leptolyngbyales; Leptolyngbyaceae; Phormidesmis ANT.L52.6
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Nostocaceae; Scytonema UTEX 2349
Bacteria (superkingdom); Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Leptolyngbyales; Leptolyngbyaceae; Chamaesiphon PCC-7430
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena PCC-7429
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium
Amorphea; Conosa; Variosea; ATCC50593-Flamella-WIM80-lineage; Flamella-lineage; Flamella-lineage X
SAR; Ciliophora; Litostomatea; Litostomatea X; Litostomatea XX; Spathidium 1
Amorphea; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Cladophialophora
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Ferruginibacter
Bacteria (superkingdom); Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
Bacteria (superkingdom); Myxococcota; Polyangia; Polyangiales; Phaselicystidaceae; Phaselicystis
Bacteria (superkingdom); Armatimonadota; Chthonomonadetes; Chthomonadales; Chthonomonadaceae; Chthonomonas
Amorphea; Nucleariidea; Nucleariida; Nucleariida X; Nuclearia family incertae sedis; Nuclearia
Amorphea; Rotifera; Bdelloidea (Rotifera); Adinetida; Adinetidae; Adineta
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Polymorphobacter
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Parafrigoribacterium
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhizobacter
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Solitalea
Bacteria (superkingdom); Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Pajaroellobacter
SAR; Cercozoa; Filosa-Sarcomonadea; Cercomonadida; Cercomonadidae; Cercomonas
Amorphea; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiaceae; Rhizophydium
SAR; Cercozoa; Filosa-Granofilosea; Limnofilida; Limnofilidae; Limnofila
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Cytophagaceae; Cytophaga
