STOIC54,STOIC01,STOIC02,STOIC03,STOIC04,STOIC05,STOIC51,STOIC52,STOIC53,STOIC55,STOIC61,STOIC62,STOIC63,STOIC64,STOIC65,STOIC66,STOIC67,STOIC68,STOIC69,STOIC70,STOIC71,STOIC72,STOIC73,STOIC74,STOIC75,STOIC76,STOIC77,STOIC78,STOIC79,STOIC80,STOIC81,STOIC82,STOIC97,STOIC98,STOIC99
9666,3333,2890,4302,3536,14299,6979,4351,12902,27961,7149,4834,10001,6759,20625,5712,2808,6610,6974,11610,5492,10408,7650,19526,9838,6730,7370,6676,16590,5607,10004,7706,638,843,1007
5946,1402,1782,3076,1940,13994,4750,4339,10452,27661,4065,2667,9787,5200,19752,3394,1759,5444,6861,13238,3272,7907,5125,18319,4515,3053,6695,4578,18076,4526,9505,6767,463,853,1068
21599,4737,5479,9706,6395,47480,14249,12010,31807,86361,12655,8923,29710,15599,62834,11460,5753,18096,22068,42744,10596,27004,17168,55772,14462,10146,19893,13895,53290,15223,30647,21392,1079,1847,2558
17550,6962,6044,5872,5385,11657,12479,7934,17317,14882,18261,9926,14715,14197,13651,12233,6203,8987,8951,6297,11230,14695,14543,17842,26426,18944,12137,15947,12363,8805,10233,12116,3528,4798,4153
17897,5942,5232,6781,5449,20036,9286,22702,20480,28634,13564,7266,15124,11300,21936,10492,5121,10557,11317,13964,9326,15979,12185,30984,20405,12193,13328,12665,24241,6326,13597,11994,3924,6877,4801
19847,7892,12789,7564,9380,15650,15702,43814,17745,31025,13903,7765,17199,15812,19077,8622,7510,11449,15506,17944,10753,11643,12222,29115,17541,12844,10456,13787,25295,13664,16506,16233,2907,3367,3679
16397,6357,10055,6476,8015,12760,13307,33205,15102,25502,11504,6689,14943,13978,16386,6911,6082,9938,13155,15077,8707,9810,10384,23981,14292,10640,9290,11939,21606,11144,14178,13928,2516,3037,3422
10983,5076,5927,5629,5187,7001,10399,9487,13625,12433,10839,7738,10294,9991,11471,8056,5062,7843,6888,5603,8898,11115,10964,12537,17253,12460,8381,11122,9320,7190,9261,8718,3436,5269,4574
9729,3339,5244,3008,3588,7229,5871,23143,6638,13263,5901,2720,6479,5891,7407,3503,3009,4464,6634,7848,3968,4373,4637,12108,7712,5109,4083,4941,10241,5128,6239,6624,1317,1380,1250
50810,5359,11781,10685,9560,16083,31709,4981,13240,6981,14123,18858,12312,13802,8298,8100,8558,7678,4876,5113,17617,15655,10145,49138,9183,27668,18911,18281,44618,22736,8160,6157,9812,18130,12040
30684,5051,5734,9794,6752,6584,13031,4659,8181,2915,7187,7467,6722,9674,2902,6353,7202,5472,3815,2140,10260,12445,8138,18467,6069,14156,19258,13714,17467,10159,4087,5496,1610,2684,1988
4242,4200,7656,4286,5814,1880,4753,2241,7447,4803,5179,4815,6888,7737,5235,3926,4480,5009,7689,1615,4833,4280,6786,4135,6441,9582,4770,10491,3554,5681,5439,6059,7445,7518,8519
1499,1150,1334,1785,1672,5695,911,1462,7639,4118,1843,905,5528,2792,3800,2332,856,4322,5852,2438,1334,2847,2982,3578,5336,1637,6320,3500,2923,1407,5223,4443,1783,2005,1247
2462,1823,2370,2673,1951,2026,2316,3538,4967,3754,2152,1809,3175,3027,3213,2063,1595,4797,3380,1271,2233,3582,3234,2964,4328,3153,5383,3481,2047,2272,3294,2648,2144,2486,2329
2916,2428,514,3869,1511,20461,579,2145,25229,13200,4481,490,15989,5395,10602,6902,497,12178,14751,6845,2493,7407,7345,13049,16627,543,15497,5404,7294,896,15641,10706,782,1677,1325
9086,3553,3943,4599,5020,6589,6466,9537,11186,27134,4903,3796,5953,6258,16717,6065,3227,6693,6163,8253,4884,6820,8691,12617,10204,5857,6528,7811,11669,4962,7687,7143,2262,3141,3006
5281,4397,2471,2372,2426,5056,3881,2586,5460,2649,10341,4968,6032,1751,3043,3172,2116,2566,1700,1636,5591,3737,1891,6629,6920,4972,2784,3415,5030,4806,4074,1700,7843,13844,9694
8496,5319,2472,739,3180,5950,2728,1924,1909,1451,6466,3407,1849,1968,1311,1645,1691,794,1888,797,8015,591,1995,5961,7333,6087,1003,4529,3798,1699,678,2151,1897,1156,3366
2067,1223,962,2412,1191,5317,1202,3504,7080,4503,2941,892,4975,2496,3936,2888,705,3830,4721,2487,1622,3140,2654,4169,6074,1299,6111,3056,3273,1277,5180,3822,1514,2353,1667
1547,844,800,2198,1291,1604,1014,1648,2452,7294,1674,834,1887,1588,4526,1456,578,2120,2187,2170,1155,2543,1453,3317,2131,988,2821,2000,2971,890,2516,1727,1194,2208,2617
1634,525,833,552,693,1408,563,4696,1020,5964,1118,372,493,497,1438,373,395,464,722,970,861,616,487,1737,1071,531,798,785,1598,627,824,852,645,839,1380
4684,3528,4108,4695,4041,3968,3043,5573,7026,11287,4621,3119,5559,4971,8757,4362,2686,5148,5378,4163,3172,6008,4732,7139,5912,4991,5110,5943,6054,2821,5444,3804,4920,7235,8415
4985,2527,2161,4882,4693,5222,3746,3788,9128,51983,3712,2257,5863,5170,26145,3324,2210,6651,7526,14085,3630,6801,4998,19101,4829,1871,7056,7235,17001,4146,8793,6909,2699,5922,16597
1461,820,1006,2608,949,932,1272,1580,2860,2407,1115,845,1866,1152,1949,989,710,4576,1236,844,1474,3720,1278,1656,2006,1444,5623,1291,1383,1099,2464,992,1183,1390,1148
5205,2191,1787,4582,4671,4471,3862,2310,10307,54729,3867,2464,6562,5832,31145,3844,2384,7742,8707,16370,3869,7585,5590,20512,5281,1478,7882,8355,19352,4558,10081,7681,2363,6075,17949
92054,52608,62737,101108,94046,51863,152158,16726,208397,169019,100432,109185,142848,128586,173550,67395,66916,108250,102777,53795,95662,138799,121077,131505,104436,106168,98881,150506,119551,107540,137042,103780,64108,81807,91504
