SEQUENCEFILE,FULLNAME,TYPE,DAY,DAYOFYEAR,NAME,SITE,RUN,STORAGE,libraryprep,albedo_gapless
STOIC54,0801CC4,cryoconite,801,213,CC4,4,0,20,18.12.22,0.475812242
STOIC01,0728CC1,cryoconite,728,209,CC1,1,1,80,21.06.23,0.502357352
STOIC02,0728CC2,cryoconite,728,209,CC2,2,2,80,21.06.23,0.517891756
STOIC03,0728CC3,cryoconite,728,209,CC3,3,1,80,21.06.23,0.50269103
STOIC04,0728CC4,cryoconite,728,209,CC4,4,2,80,21.06.23,0.50269103
STOIC05,0728CC5,cryoconite,728,209,CC5,5,1,80,19.07.23,0.52122683
STOIC51,0801CC1,cryoconite,801,213,CC1,1,1,80,19.07.23,0.513499661
STOIC52,0801CC2,cryoconite,801,213,CC2,2,2,80,19.07.23,0.542802589
STOIC53,0801CC3,cryoconite,801,213,CC3,3,1,80,25.07.23,0.475812242
STOIC55,0801CC5,cryoconite,801,213,CC5,5,2,80,25.07.23,0.517990993
STOIC61,0813CC1,cryoconite,813,225,CC1,1,2,80,02.08.23,0.60950136
STOIC62,0813CC2,cryoconite,813,225,CC2,2,1,80,09.08.23,0.633546558
STOIC63,0813CC3,cryoconite,813,225,CC3,3,2,80,11.08.23,0.617023343
STOIC64,0813CC4,cryoconite,813,225,CC4,4,1,80,11.08.23,0.617023343
STOIC65,0813CC5,cryoconite,813,225,CC5,5,2,80,09.08.23,0.613637322
STOIC66,0818CC1,cryoconite,818,230,CC1,1,2,80,09.08.23,0.645371512
STOIC67,0818CC2,cryoconite,818,230,CC2,2,1,80,09.08.23,0.630902163
STOIC68,0818CC3,cryoconite,818,230,CC3,3,2,80,09.08.23,0.651474103
STOIC69,0818CC4,cryoconite,818,230,CC4,4,1,80,11.08.23,0.651474103
STOIC70,0818CC5,cryoconite,818,230,CC5,5,2,80,11.08.23,0.621559885
STOIC71,0805CC2,cryoconite,805,217,CC2,2,1,80,25.07.23,0.469431268
STOIC72,0805CC3,cryoconite,805,217,CC3,3,2,80,25.07.23,0.473976591
STOIC73,0805CC4,cryoconite,805,217,CC4,4,1,80,25.07.23,0.473976591
STOIC74,0805CC5,cryoconite,805,217,CC5,5,2,80,25.07.23,0.48615138
STOIC75,0807CC1,cryoconite,807,219,CC1,1,1,80,25.07.23,0.47457459
STOIC76,0807CC2,cryoconite,807,219,CC2,2,2,80,25.07.23,0.48451049
STOIC77,0807CC3,cryoconite,807,219,CC3,3,1,80,02.08.23,0.495053713
STOIC78,0807CC4,cryoconite,807,219,CC4,4,2,80,02.08.23,0.495053713
STOIC79,0807CC5,cryoconite,807,219,CC5,5,1,80,02.08.23,0.447500685
STOIC80,0810CC2,cryoconite,810,222,CC2,2,1,80,02.08.23,0.574249458
STOIC81,0810CC3,cryoconite,810,222,CC3,3,2,80,02.08.23,0.5641014
STOIC82,0810CC4,cryoconite,810,222,CC4,4,1,80,02.08.23,0.5641014
STOIC97,0805CC1,cryoconite,805,217,CC1,1,3,80,14.09.23,0.475823292
STOIC98,0810CC1,cryoconite,810,222,CC1,1,3,80,14.09.23,0.551226234
STOIC99,0810CC5,cryoconite,810,222,CC5,5,3,80,14.09.23,0.546231959
