kingdom;phylum;class;order;family;genus;species
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora minutissima
k__Amorphea; p__Ascomycota; c__Leotiomycetes; o__; f__; g__; s__
k__Amorphea; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__; f__; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Kriegeriales; f__Camptobasidiaceae; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Kriegeriales; f__Camptobasidiaceae; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__
k__Amorphea; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__; g__; s__
k__Amorphea; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__Blastocladiaceae; g__Blastocladiella; s__
k__Amorphea; p__Choanoflagellida (phylum); c__Choanoflagellatea; o__Craspedida; f__; g__; s__
k__Amorphea; p__Choanoflagellida (phylum); c__Choanoflagellatea; o__Craspedida; f__Salpingoecidae Group C1; g__Salpingoecidae Group C1 X; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Chytridiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Chytriomycetaceae; g__Chytriomyces; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Gromochytriales; f__Gromochytriaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Lobulomycetales; f__Lobulomycetaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Lobulomycetales; f__Lobulomycetaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__Rhizophydium; s__
k__Amorphea; p__Conosa; c__Variosea; o__ATCC50593-Flamella-WIM80-lineage; f__; g__; s__
k__Amorphea; p__Conosa; c__Variosea; o__ATCC50593-Flamella-WIM80-lineage; f__Flamella-lineage; g__Flamella-lineage X; s__
k__Amorphea; p__Ichthyosporea; c__Ichthyosphonida; o__Pseudoperkinsidae; f__; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__Nolandellidae; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__Nolandellidae; g__Nolandellidae X; s__
k__Amorphea; p__Nucleariidea; c__Nucleariida; o__Nucleariida X; f__Nuclearia family incertae sedis; g__Nuclearia; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__; g__; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__; g__; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__Adinetidae; g__Adineta; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
