KATIE25,STOIC32,STOIC45,STOIC11,STOIC12,STOIC13,STOIC14,STOIC15,STOIC21,STOIC22,STOIC23,STOIC24,STOIC25,STOIC30,STOIC31,STOIC33,STOIC34,STOIC35,STOIC36,STOIC37,STOIC39,STOIC40,STOIC41,STOIC42,STOIC43,STOIC44,STOIC46,STOIC47,STOIC48,STOIC49,STOIC50,STOIC92,STOIC93,STOIC94,STOIC95,STOIC96
29252,11489,9151,10597,13046,7702,7442,6226,19729,16966,18685,7464,23075,11563,21787,18855,13804,23008,19190,5933,4542,5110,14208,6849,14361,12703,15050,5321,17826,4484,6659,17898,14620,16197,9787,11685
3152,1305,2672,3983,3126,2989,1693,1079,1947,2485,2948,861,2241,1576,3002,2850,2130,2655,2249,805,624,605,2328,789,2294,1810,2870,756,3507,863,1004,2407,2035,2981,1228,1458
663,879,706,1070,231,704,500,251,297,587,631,234,440,558,471,975,715,395,588,307,253,277,609,368,577,509,728,570,801,381,774,1202,1059,1411,647,513
1108,1223,701,4338,620,2555,865,600,441,599,671,233,882,622,700,1144,713,659,676,410,318,374,567,411,690,663,752,566,803,426,857,1471,1145,1676,888,861
12399,11627,4977,1079,311,815,1561,793,1533,7558,5465,568,8552,8732,1754,9830,3700,3401,989,1084,1021,1124,1401,2506,1428,5573,892,3298,4498,1881,7215,5479,3627,5015,7688,4694
38085,48545,17856,14135,9302,6043,32250,24915,10158,12474,11008,25877,27677,13009,6388,18909,16612,12322,9039,10358,16667,12973,8578,12087,8522,16456,8029,10381,10617,12468,17316,16220,15467,7322,21169,9891
12001,26927,7354,3800,892,1805,6437,2816,6958,12339,13568,1986,8434,6715,5160,19716,9631,4682,3605,3024,2841,2408,5621,6377,4041,7165,3498,5410,6831,4649,6722,16345,12037,9135,10067,5267
2858,2526,1339,1384,443,1166,801,605,539,1346,1128,424,1944,1637,926,2454,1173,1135,779,510,430,487,858,791,914,1471,841,1001,1432,575,1601,1987,1990,2460,1451,1429
31756,11621,12609,9306,11257,7059,6200,6134,25178,14590,17766,9222,26143,12328,28506,19665,12427,31337,24850,6231,4756,5741,12524,7375,11326,11562,15848,5966,17226,4473,6591,19500,14411,13851,10318,11929
71301,110542,36652,30940,30877,18039,97393,73767,17781,15445,17081,74790,50826,8152,11500,28271,35128,25269,16411,28913,44046,32759,16531,30102,20329,28539,16706,23413,19558,36402,26755,28014,43933,11151,41984,16544
20,115,107,6,9,6,4,7,3,3,5,8,10,32,147,97,57,62,25,16,10,6,57,36,66,30,4,1,16,5,14,298,298,268,109,181
4539,6957,4648,870,1283,662,6787,5006,2224,1007,730,4593,3763,434,1743,1216,3845,2679,1911,3445,2833,3983,1744,3449,1912,2462,1578,2078,1772,3355,2141,2404,5083,2051,4663,3465
80152,115541,60026,90702,27117,22843,106433,84670,49592,19904,32653,77358,57729,15851,32617,49673,61346,34056,46616,28497,49131,43936,43643,31771,31669,45881,46641,24764,28500,36687,38323,71553,48249,17900,47611,19306
78700,115487,38182,24710,31606,18737,79069,64411,19289,20268,21092,72390,54632,11329,19332,29508,33579,33783,20420,25777,40680,29894,18681,27987,22355,27453,18578,20372,22565,28075,24071,25862,40067,15796,37839,17675
78645,116718,44333,54297,23948,16508,94803,80064,43527,17028,27097,80040,60615,14570,25823,44534,58332,36783,40942,31067,56117,46415,35205,33185,29729,42928,32189,22807,24237,32677,33698,60703,45875,15908,51247,20659
27272,39474,17392,27689,11167,8698,40636,31349,16050,6951,10804,29350,20954,5282,10076,16672,21757,12460,14563,11859,20021,15795,14123,12142,11752,16376,14869,8984,10790,14193,14072,24142,19119,6756,18874,7753
